"URL A","URL B","Similarity","Class"
"/rehulyarne-prybyrannya-biznesu-cherkasy","/prybyrannya-medychnykh-tsentriv-cherkasy","3.4%","OK"
"/himchystka-dyvana-cherkasy","/himchystka-krisel-cherkasy","3.3%","OK"
"/rehulyarne-prybyrannya-biznesu-cherkasy","/prybyrannya-vyrobnychykh-prymishchen-cherkasy","3.3%","OK"
"/rehulyarne-prybyrannya-biznesu-cherkasy","/prybyrannya-skladiv-cherkasy","3.3%","OK"
"/prybyrannya-restoraniv-kafe-cherkasy","/prybyrannya-vyrobnychykh-prymishchen-cherkasy","3.3%","OK"
"/prybyrannya-vyrobnychykh-prymishchen-cherkasy","/prybyrannya-medychnykh-tsentriv-cherkasy","3.3%","OK"
"/himchystka-kovrolinu-cherkasy","/dezinfektsiya-prymishchen-cherkasy","3.3%","OK"
"/prybyrannya-pislya-pozhezhi-cherkasy","/himchystka-stiltsiv-cherkasy","3.2%","OK"
"/himchystka-mebliv-cherkasy","/dezinfektsiya-prymishchen-cherkasy","3.2%","OK"
"/myttya-vikon-cherkasy","/himchystka-stiltsiv-cherkasy","3.2%","OK"
"/prybyrannya-mahazyniv-supermarketiv-cherkasy","/prybyrannya-vyrobnychykh-prymishchen-cherkasy","3.2%","OK"
"/prybyrannya-kvartyr-cherkasy","/himchystka-avto-cherkasy","3.1%","OK"
"/himchystka-avto-cherkasy","/himchystka-kovrolinu-cherkasy","3.1%","OK"
"/prybyrannya-ofisiv-cherkasy","/prybyrannya-vyrobnychykh-prymishchen-cherkasy","3.1%","OK"
"/himchystka-stiltsiv-cherkasy","/himchystka-kovrolinu-cherkasy","3.0%","OK"
"/himchystka-stiltsiv-cherkasy","/myttya-fasadiv-cherkasy","3.0%","OK"
"/himchystka-stiltsiv-cherkasy","/myttya-plytky-cherkasy","3.0%","OK"
"/prybyrannya-kvartyr-cherkasy","/himchystka-mebliv-cherkasy","2.9%","OK"
"/prybyrannya-pislya-remontu-cherkasy","/himchystka-mebliv-cherkasy","2.9%","OK"
"/himchystka-mebliv-cherkasy","/himchystka-stiltsiv-cherkasy","2.9%","OK"
"/himchystka-dyvana-cherkasy","/himchystka-kovrolinu-cherkasy","2.9%","OK"
"/himchystka-avto-cherkasy","/himchystka-stiltsiv-cherkasy","2.8%","OK"
"/prybyrannya-pislya-potopu-cherkasy","/rehulyarne-prybyrannya-biznesu-cherkasy","2.7%","OK"
"/prybyrannya-pislya-potopu-cherkasy","/prybyrannya-skladiv-cherkasy","2.7%","OK"
"/prybyrannya-pislya-potopu-cherkasy","/prybyrannya-medychnykh-tsentriv-cherkasy","2.7%","OK"
"/himchystka-dyvana-cherkasy","/himchystka-stiltsiv-cherkasy","2.7%","OK"
"/himchystka-stiltsiv-cherkasy","/dezinfektsiya-prymishchen-cherkasy","2.7%","OK"
"/prybyrannya-pislya-potopu-cherkasy","/prybyrannya-mahazyniv-supermarketiv-cherkasy","2.6%","OK"
"/prybyrannya-pislya-potopu-cherkasy","/prybyrannya-restoraniv-kafe-cherkasy","2.6%","OK"
"/prybyrannya-pislya-potopu-cherkasy","/prybyrannya-vyrobnychykh-prymishchen-cherkasy","2.6%","OK"
"/prybyrannya-pislya-potopu-cherkasy","/prybyrannya-ofisiv-cherkasy","2.5%","OK"
"/himchystka-stiltsiv-cherkasy","/himchystka-krisel-cherkasy","2.5%","OK"
"/generalne-prybyrannya-kuhni-cherkasy","/himchystka-stiltsiv-cherkasy","2.4%","OK"
"/generalne-prybyrannya-kuhni-cherkasy","/himchystka-kovrolinu-cherkasy","2.3%","OK"
"/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/prybyrannya-restoraniv-kafe-cherkasy","2.1%","OK"
"/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/himchystka-kovrolinu-cherkasy","2.1%","OK"
"/prybyrannya-komertsiynykh-prymishchen-cherkasy","/himchystka-krisel-cherkasy","2.0%","OK"
"/prybyrannya-komertsiynykh-prymishchen-cherkasy","/himchystka-kovrolinu-cherkasy","2.0%","OK"
"/pidtrymuyuche-prybyrannya-kvartyr-cherkasy","/prybyrannya-skladiv-cherkasy","1.9%","OK"
